Term,Definition,Category,Source,Difficulty
token,"A chunk of text (a word or sub-word) that language models process as a single unit.",AI Engineering,AI Engineering Course,beginner
context window,"The token limit defining the maximum length of text an LLM can analyze or remember at one time.",AI Engineering,AI Engineering Course,beginner
pydantic,"A python library enforcing strict data type validation.",AI Engineering,AI Engineering Course,beginner
BaseModel,"The core class inherited in Pydantic used to construct robust, automatically validated Python objects.",AI Engineering,AI Engineering Course,beginner
Field,"A Pydantic tool used to attach constraints, metadata, or default values to attributes.",AI Engineering,AI Engineering Course,beginner
model_fields,"A dictionary containing the metadata for the defined attributes of a Pydantic model.",AI Engineering,AI Engineering Course,beginner
computed_field,"A Pydantic feature that dynamically calculates and creates a property based on other data when the model is used.",AI Engineering,AI Engineering Course,beginner
model_validate,"A method to strictly check and parse an external dictionary into a valid Pydantic object.",AI Engineering,AI Engineering Course,beginner
model_dump,"A method to extract the data from a Pydantic model back into a standard Python dictionary format.",AI Engineering,AI Engineering Course,beginner
type hinting,"Annotating Python variables with expected data types to improve code clarity and assist validation tools.",AI Engineering,AI Engineering Course,beginner
serialization,"Translating a Python object into JSON text so it can be transmitted via an API.",AI Engineering,AI Engineering Course,beginner
deserialization,"Reconstructing a JSON text payload back into a usable Python object.",AI Engineering,AI Engineering Course,beginner
prompt engineering,"The art and science of formulating queries to maximize the accuracy and helpfulness of LLM responses.",AI Engineering,AI Engineering Course,beginner
zero-shot learning,"Providing an LLM with instructions to perform a task without supplying any prior examples.",AI Engineering,AI Engineering Course,beginner
uvicorn,"A lightning-fast ASGI server implementation used to run and serve FastAPI web applications.",AI Engineering,AI Engineering Course,beginner
endpoint,"A specific URL address within an API that receives requests and executes a specific function.",AI Engineering,AI Engineering Course,beginner
path parameter,"A variable embedded directly in the URL path of an API to identify a specific resource.",AI Engineering,AI Engineering Course,beginner
query parameter,"Optional variables appended to the end of a URL (after a '?') used to filter or customize API requests.",AI Engineering,AI Engineering Course,beginner
routes,"The mapping structure connecting specific API URLs to the underlying Python functions that handle them.",AI Engineering,AI Engineering Course,beginner
request,"The data payload and metadata sent from a client or user asking an API to perform an action.",AI Engineering,AI Engineering Course,beginner
REST,"Representational State Transfer; an architectural style for designing robust, standardized web APIs.",AI Engineering,AI Engineering Course,beginner
CRUD,"Create, Read, Update, Delete; the four foundational operations implemented by REST APIs.",AI Engineering,AI Engineering Course,beginner
put,"An HTTP method used in APIs to completely replace or update an existing resource.",AI Engineering,AI Engineering Course,beginner
post,"An HTTP method used in APIs to create and submit an entirely new resource to the server.",AI Engineering,AI Engineering Course,beginner
read,"The conceptual action of retrieving data, usually mapped to an HTTP GET request.",AI Engineering,AI Engineering Course,beginner
update,"The conceptual action of modifying existing data, usually mapped to an HTTP PUT or PATCH request.",AI Engineering,AI Engineering Course,beginner
field_validator,"A decorator in Pydantic used to write custom validation logic for a specific field.",AI Engineering,AI Engineering Course,beginner
response,"The final data package and status code sent back by the API to the client after processing a request.",AI Engineering,AI Engineering Course,beginner
swagger ui,"An interactive, visually appealing documentation interface automatically generated by FastAPI for testing API endpoints.",AI Engineering,AI Engineering Course,beginner
OpenAPI,"A standard specification format used to describe, document, and define the structure of REST APIs.",AI Engineering,AI Engineering Course,beginner
curl,"A command-line tool used by developers to manually send HTTP requests and test APIs without a graphical interface.",AI Engineering,AI Engineering Course,beginner
tools,"Functions or scripts given to an AI Agent allowing it to fetch external data or take actions.",AI Engineering,AI Engineering Course,beginner
dependencies,"Software packages or libraries that an application relies upon to function.",AI Engineering,AI Engineering Course,beginner
output_type,"The strict schema format an AI is instructed to return, guaranteeing consistent data structures.",AI Engineering,AI Engineering Course,beginner
dependency injection,"A pattern in FastAPI where required components (like database connections) are automatically provided to endpoints when called.",AI Engineering,AI Engineering Course,beginner
request body,"The JSON payload included in POST or PUT requests containing the complex data to be processed.",AI Engineering,AI Engineering Course,beginner
response model,"A schema defining the exact shape and data types of the output an API will return.",AI Engineering,AI Engineering Course,beginner
pydantic model,"A structured Python class ensuring data integrity during application runtime.",AI Engineering,AI Engineering Course,beginner
Agent,"An LLM-driven system capable of autonomous reasoning, calling tools, and breaking down complex goals.",AI Engineering,AI Engineering Course,beginner
run,"The command used to execute an AI Agent's workflow or an application process.",AI Engineering,AI Engineering Course,beginner
system prompt,"The invisible foundational instructions defining an LLM's persona, rules, and boundaries.",AI Engineering,AI Engineering Course,beginner
retry loop,"A mechanism designed to automatically try an operation again if a network request or LLM generation fails.",AI Engineering,AI Engineering Course,beginner
tool call,"When an LLM intelligently halts its text generation to request the execution of a specific python function.",AI Engineering,AI Engineering Course,beginner
messages,"The historical list of dialogue exchanges passed to an LLM to maintain conversation context.",AI Engineering,AI Engineering Course,beginner
RAG,"Retrieval-Augmented Generation; a technique that securely passes external, factual documents to an LLM to prevent hallucinations.",AI Engineering,AI Engineering Course,beginner
embedding,"A numerical array representing the semantic meaning of text, allowing computers to measure conceptual similarity.",AI Engineering,AI Engineering Course,beginner
vector database,"A specialized database optimized to store and instantly search mathematical embeddings.",AI Engineering,AI Engineering Course,beginner
ANN,"Approximate Nearest Neighbor; an ultra-fast algorithm used by vector databases to find similar data points.",AI Engineering,AI Engineering Course,beginner
KNN,"K-Nearest Neighbors; an algorithm that calculates the exact closest data points based on mathematical distance.",AI Engineering,AI Engineering Course,beginner
retriever,"The component in a RAG system responsible for searching the vector database and fetching the most relevant documents.",AI Engineering,AI Engineering Course,beginner
generator,"The LLM component in a RAG system that reads the retrieved documents and synthesizes a final, human-readable answer.",AI Engineering,AI Engineering Course,beginner
similarity search,"The process of comparing a user's query embedding against a database to find semantically related text.",AI Engineering,AI Engineering Course,beginner
BM25,"A traditional keyword-based search algorithm that ranks documents based on exact word frequency.",AI Engineering,AI Engineering Course,beginner
keyword search,"A basic search method that looks for exact character matches rather than underlying meaning.",AI Engineering,AI Engineering Course,beginner
hybrid search,"An advanced search methodology combining the strengths of exact keyword matching with semantic vector search.",AI Engineering,AI Engineering Course,beginner
vector search,"Searching a database by calculating the mathematical distance between meaning-based embeddings.",AI Engineering,AI Engineering Course,beginner
cosine similarity,"A specific mathematical calculation used to determine how close two embeddings are to each other conceptually.",AI Engineering,AI Engineering Course,beginner
chunking,"The process of splitting large documents into smaller, manageable text blocks before turning them into embeddings.",AI Engineering,AI Engineering Course,beginner
context,"The retrieved documents injected into the LLM's prompt to give it factual grounding to answer a query.",AI Engineering,AI Engineering Course,beginner
metadata,"Descriptive tags (like date, author, or category) attached to document chunks in a vector database for better filtering.",AI Engineering,AI Engineering Course,beginner
agentic rag,"An advanced pattern where an AI Agent independently decides if it needs to search a database, and what queries to use.",AI Engineering,AI Engineering Course,beginner
on-premises IT infrastructure,"Computing hardware and servers physically located and maintained within an organization's own facilities.",Big Data Databricks,Big Data Databricks Course,beginner
cloud IT infrastructure,"Computing resources, storage, and networking delivered as a service over the internet by third-party providers.",Big Data Databricks,Big Data Databricks Course,beginner
3 Vs of big data,"Volume, Velocity, and Variety; the three defining characteristics of massive datasets that traditional systems cannot handle.",Big Data Databricks,Big Data Databricks Course,beginner
scalability,"The ability of a cloud system to seamlessly increase computing power and storage to handle growing amounts of data.",Big Data Databricks,Big Data Databricks Course,beginner
availability,"The metric determining how reliably accessible and operational a cloud computing system is over time.",Big Data Databricks,Big Data Databricks Course,beginner
lakeflow connect,"A Databricks feature designed to easily integrate and ingest data from various external operational systems.",Big Data Databricks,Big Data Databricks Course,beginner
lakeflow spark declarative pipeline,"A framework for defining robust, automated data pipelines within Databricks using a declarative syntax.",Big Data Databricks,Big Data Databricks Course,beginner
unity catalog,"A unified governance solution within Databricks providing centralized access control, auditing, and lineage across data.",Big Data Databricks,Big Data Databricks Course,beginner
data lakehouse,"A modern data architecture combining the vast storage flexibility of a data lake with the reliability and structure of a data warehouse.",Big Data Databricks,Big Data Databricks Course,beginner
delta table,"A reliable, high-performance table format in Databricks supporting ACID transactions, time travel, and unified streaming/batch processing.",Big Data Databricks,Big Data Databricks Course,beginner
lakeflow jobs,"A Databricks orchestration tool used to schedule, monitor, and execute complex data processing workflows.",Big Data Databricks,Big Data Databricks Course,beginner
spark,"A powerful open-source distributed computing framework designed for fast, large-scale data processing.",Big Data Databricks,Big Data Databricks Course,beginner
pyspark,"The Python API for Apache Spark, allowing data engineers to write Python code to process massive datasets on clusters.",Big Data Databricks,Big Data Databricks Course,beginner
data intelligence platform,"The evolution of Databricks integrating generative AI to deeply understand data semantics and assist in code generation and analysis.",Big Data Databricks,Big Data Databricks Course,beginner
dataframe,"A tabular data structure used in pandas for data analysis.",Machine Learning,Machine Learning Course,beginner
series,"A one-dimensional array representing a single column in pandas.",Machine Learning,Machine Learning Course,beginner
pandas concat,"A function to combine dataframes.",Machine Learning,Machine Learning Course,beginner
pandas apply,"A method to apply a function over rows or columns of data.",Machine Learning,Machine Learning Course,beginner
csv,"A plain text format for storing tabular data separated by commas.",Machine Learning,Machine Learning Course,beginner
pandas isnull,"A method for finding missing or NaN values in a dataset.",Machine Learning,Machine Learning Course,beginner
masking in pandas,"Filtering a dataframe by passing it an array of boolean conditions.",Machine Learning,Machine Learning Course,beginner
pandas transpose,"Pivoting a dataframe so rows become columns.",Machine Learning,Machine Learning Course,beginner
pandas value_counts(),"A function that returns the frequencies of unique values in a series.",Machine Learning,Machine Learning Course,beginner
json,"JavaScript Object Notation; a common format for storing hierarchical data.",Machine Learning,Machine Learning Course,beginner
tabular data,"Data neatly organized into rows and columns.",Machine Learning,Machine Learning Course,beginner
zero-based indexing,"The programming convention of starting an index count at 0 instead of 1.",Machine Learning,Machine Learning Course,beginner
join,"Combining two datasets horizontally based on a shared key.",Machine Learning,Machine Learning Course,beginner
left join,"A join keeping all records from the primary dataset and matching ones from the secondary.",Machine Learning,Machine Learning Course,beginner
inner join,"A join keeping only records that have a match in both datasets.",Machine Learning,Machine Learning Course,beginner
group by,"Splitting data into discrete groups to calculate summary statistics.",Machine Learning,Machine Learning Course,beginner
supervised learning,"A machine learning paradigm where algorithms learn from labeled training data.",Machine Learning,Machine Learning Course,beginner
machine learning,"Teaching computers to recognize patterns and make decisions from data without explicit programming.",Machine Learning,Machine Learning Course,beginner
data science,"Extracting insights and knowledge from complex data using math, stats, and programming.",Machine Learning,Machine Learning Course,beginner
data engineering,"Building the pipelines and infrastructure required to process and store data efficiently.",Machine Learning,Machine Learning Course,beginner
algorithm,"A computational formula or mathematical process used to solve a problem.",Machine Learning,Machine Learning Course,beginner
regression,"Predicting a continuous numerical value based on input features.",Machine Learning,Machine Learning Course,beginner
classification,"Predicting which category or class a data point belongs to.",Machine Learning,Machine Learning Course,beginner
qualitative data,"Descriptive, categorical data.",Machine Learning,Machine Learning Course,beginner
quantitative data,"Numerical data that can be measured and calculated mathematically.",Machine Learning,Machine Learning Course,beginner
independent variable,"The input data features used by the model to learn and make predictions.",Machine Learning,Machine Learning Course,beginner
dependent variable,"The specific variable the model is tasked with predicting.",Machine Learning,Machine Learning Course,beginner
label,"The known correct answer provided to a supervised learning model during training.",Machine Learning,Machine Learning Course,beginner
feature,"A measurable property used as an input variable in an algorithm.",Machine Learning,Machine Learning Course,beginner
model,"The mathematical representation resulting from the training process.",Machine Learning,Machine Learning Course,beginner
training,"The process of feeding data to an algorithm so it can calculate patterns and weights.",Machine Learning,Machine Learning Course,beginner
evaluation,"Assessing how well a trained model performs using specific metrics.",Machine Learning,Machine Learning Course,beginner
prediction,"The model's output estimate when presented with new data.",Machine Learning,Machine Learning Course,beginner
target,"The outcome variable the model aims to predict.",Machine Learning,Machine Learning Course,beginner
training set,"The portion of the dataset used exclusively to train the algorithm.",Machine Learning,Machine Learning Course,beginner
validation set,"Data used to iteratively tune the model's settings during training.",Machine Learning,Machine Learning Course,beginner
test set,"Data completely hidden during training, used for the final evaluation.",Machine Learning,Machine Learning Course,beginner
recall,"The percentage of actual positives the model correctly identified.",Machine Learning,Machine Learning Course,beginner
f1 score,"A metric providing a balanced average of precision and recall.",Machine Learning,Machine Learning Course,beginner
regularization,"Penalizing model complexity to prevent overfitting and improve generalization.",Machine Learning,Machine Learning Course,beginner
hyperparameter,"Settings adjusted by the engineer prior to training to steer how the model learns.",Machine Learning,Machine Learning Course,beginner
overfitting,"When a model learns the training data's noise too well, failing on unseen data.",Machine Learning,Machine Learning Course,beginner
underfitting,"When a model is too simplistic to learn the underlying patterns in the data.",Machine Learning,Machine Learning Course,beginner
precision,"The percentage of the model's positive predictions that were actually correct.",Machine Learning,Machine Learning Course,beginner
BaseModel,"A Pydantic class used for strictly defining data shapes.",Machine Learning,Machine Learning Course,beginner
Field,"A Pydantic tool for configuring individual attribute validation.",Machine Learning,Machine Learning Course,beginner
model_fields,"Metadata describing a Pydantic model's schema.",Machine Learning,Machine Learning Course,beginner
computed_field,"A dynamically calculated property in a Pydantic model.",Machine Learning,Machine Learning Course,beginner
model_validate,"Parsing data securely into a defined Python object.",Machine Learning,Machine Learning Course,beginner
model_dump,"Converting a Python object back into a dictionary.",Machine Learning,Machine Learning Course,beginner
type hinting,"Specifying variable types in Python for better code validation.",Machine Learning,Machine Learning Course,beginner
serialization,"Converting complex data to JSON format.",Machine Learning,Machine Learning Course,beginner
deserialization,"Converting JSON data back into complex objects.",Machine Learning,Machine Learning Course,beginner
DAG,"Directed Acyclic Graph: A conceptual representation of a data pipeline where tasks are executed in a specific, unidirectional order without any infinite loops.",Data Engineering,Data Engineering Core,beginner
CDC,"Change Data Capture: A software process that identifies and tracks changes in a database (inserts, updates, deletes) in real-time to keep downstream systems synced.",Data Engineering,Data Engineering Core,beginner
Data Contract,"An agreement between data producers and data consumers defining the schema, quality, and service level of the data being shared to prevent pipeline breakages.",Data Engineering,Data Engineering Core,beginner
Parquet,"An open-source, column-oriented data file format designed for highly efficient data storage and retrieval, heavily used in data lakes and Spark environments.",Data Engineering,Data Engineering Core,beginner
Data Lineage,"The tracking of data as it flows from its origin to consumption, documenting exactly how it gets transformed and where it is ultimately used.",Data Engineering,Data Engineering Core,beginner
Data Governance,"The overall organizational management of data availability, usability, integrity, and security, ensuring data is trusted and compliant.",Data Engineering,Data Engineering Core,beginner
Data Catalog,"A centralized, searchable inventory of an organization's data assets that uses metadata to help users easily find and understand the data available to them.",Data Engineering,Data Engineering Core,beginner
Data Mesh,"A decentralized data architecture that treats data as a product, assigning ownership to specific domain teams rather than a single central data team.",Data Engineering,Data Engineering Core,beginner
Lambda Architecture,"A data-processing architecture designed to handle massive quantities of data by utilizing both batch-processing and stream-processing methods simultaneously.",Data Engineering,Data Engineering Core,beginner
SLA,"Service Level Agreement: A defined expectation for data pipeline performance, specifying acceptable metrics like data freshness, uptime, and processing delay.",Data Engineering,Data Engineering Core,beginner
Backfilling,"The process of pushing historical data through a newly created or updated data pipeline to populate a target destination retroactively.",Data Engineering,Data Engineering Core,beginner
Data Skew,"A performance issue occurring in distributed systems (like Spark) where data is unevenly distributed across partitions, causing some nodes to work much harder than others.",Data Engineering,Data Engineering Core,beginner
Idempotency,"A property of a data pipeline ensuring that running a task multiple times yields the exact same final result as running it just once, preventing accidental data duplication.",Data Engineering,Data Engineering Core,beginner
